How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Why or why not?,Would you bring up a mental health issue with a potential employer in an interview?,Why or why not?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,What is your age?,What is your gender?,What country do you live in?,What US state or territory do you live in?,What country do you work in?,What US state or territory do you work in?
More than 1000,0.0,1.0,Maybe,"I would bring it up if it required accommodations, such as needing to get up and stretch or walk to alleviate muscle issues.",No,"I would bring it up if it required accommodations, such as needing to get up and stretch or walk to alleviate muscle issues.",No,No,Possibly,Possibly,32.0,Male,United States of America,Indiana,United States of America,Indiana
,,,Yes,"I think it would be fair to the employer, and beneficial to the future relationship to put all card on the table (but I might be biased as I'm an employer myself).",Yes,"I think it would be fair to the employer, and beneficial to the future relationship to put all card on the table (but I might be biased as I'm an employer myself).",Maybe/Not sure,No,No,No,40.0,male,Netherlands,,Netherlands,
500-1000,1.0,1.0,Yes,"If I need reasonable accommodation such as a standing desk, I'd rather know up front if they will balk at giving me one. ",No,"If I need reasonable accommodation such as a standing desk, I'd rather know up front if they will balk at giving me one. ","Yes, I observed",No,Yes,Yes,52.0,Female (cis) ,United States of America,Massachusetts,United States of America,Massachusetts
26-100,1.0,1.0,Yes,"If it is an issue that may impact work, it is better for that information to be known ahead of time.",Yes,"If it is an issue that may impact work, it is better for that information to be known ahead of time.",No,,No,Possibly,33.0,Male,United States of America,Ohio,United States of America,Ohio
100-500,1.0,1.0,No,"Unless it's something that would possibly prevent me from working (like, I can't get in the building or up the stairs or something), then I don't want that info coloring their view of me.",No,"Unless it's something that would possibly prevent me from working (like, I can't get in the building or up the stairs or something), then I don't want that info coloring their view of me.",Maybe/Not sure,Maybe,Yes,Yes,41.0,Female,United States of America,Illinois,United States of America,Illinois
100-500,1.0,1.0,No,"My answer assumes a long term physical health issue. I would worry it would negatively impact their impression of me.  Not that they would think less of my skills or qualifications, but that they might feel that I might not be able to contribute the same amount of work as a person who isn't currently dealing with a physical health issue.",No,"My answer assumes a long term physical health issue. I would worry it would negatively impact their impression of me.  Not that they would think less of my skills or qualifications, but that they might feel that I might not be able to contribute the same amount of work as a person who isn't currently dealing with a physical health issue.",No,No,No,No,25.0,Female,United States of America,Illinois,United States of America,Illinois
,,,Yes,People are more accustomed to the request and solutions required in most physical health scenarios.,Maybe,People are more accustomed to the request and solutions required in most physical health scenarios.,"Yes, I experienced",Yes,Yes,Yes,33.0,Woman-identified,Canada,,Canada,
26-100,1.0,1.0,Maybe,Depends on how it impacts my work,Maybe,Depends on how it impacts my work,"Yes, I observed",No,No,No,36.0,Contextual,United States of America,Massachusetts,United States of America,Massachusetts
,,,Maybe,,No,,No,No,Yes,Yes,40.0,male,Switzerland,,Switzerland,
100-500,1.0,0.0,Maybe,"It's something that a future employer should know, but it may be uncomfortable to bring up that soon.",No,"It's something that a future employer should know, but it may be uncomfortable to bring up that soon.",No,Maybe,No,No,23.0,Female,United States of America,Illinois,United States of America,Illinois
25-Jun,1.0,1.0,Maybe,"I'd be willing to bring up something that would require accommodation on their part, if that accommodation was protected under law. ",No,"I'd be willing to bring up something that would require accommodation on their part, if that accommodation was protected under law. ",No,,No,No,37.0,m,Canada,,Canada,
100-500,0.0,1.0,Maybe,,Maybe,,No,No,Possibly,Possibly,42.0,Male,United States of America,Wisconsin,United States of America,Wisconsin
100-500,0.0,1.0,No,"As a woman, I feel that I cannot show any ""weakness"" during an interview or it will subconsciously bias the employer against me.",No,"As a woman, I feel that I cannot show any ""weakness"" during an interview or it will subconsciously bias the employer against me.","Yes, I experienced",Yes,Yes,Yes,35.0,Female,United States of America,Ohio,United States of America,Ohio
100-500,1.0,0.0,No,"In the interview process, you don't know anything about the biases of the people in front of you. Even though it would be wrong of them to discriminate against you in the hiring process due to any health issues you may have, that does not mean it wouldn't happen. ",No,"In the interview process, you don't know anything about the biases of the people in front of you. Even though it would be wrong of them to discriminate against you in the hiring process due to any health issues you may have, that does not mean it wouldn't happen. ",No,No,No,Possibly,32.0,Female,United States of America,Illinois,United States of America,Illinois
100-500,1.0,1.0,Yes,Physical health is part of a job requirement.,No,Physical health is part of a job requirement.,No,No,No,Don't Know,23.0,Male,United States of America,Illinois,United States of America,Illinois
100-500,1.0,1.0,Maybe,I would only bring it up if it posed a very real question about my ability to do the job I was interviewing for.,No,I would only bring it up if it posed a very real question about my ability to do the job I was interviewing for.,No,No,Yes,Yes,35.0,Female,United States of America,Illinois,United States of America,Illinois
100-500,1.0,1.0,Maybe,I would be afraid it would be held against me.,No,I would be afraid it would be held against me.,No,No,Yes,Yes,34.0,female,United States of America,Illinois,United States of America,Illinois
100-500,1.0,1.0,No,"I wouldnt bring up these issues because I have nothing serious enough to be an issue, but if I had a very serious issue that made me take a ton of time off work/not be able to perform certain tasks/etc, I would want to be as upfront with that as possible.",No,"I wouldnt bring up these issues because I have nothing serious enough to be an issue, but if I had a very serious issue that made me take a ton of time off work/not be able to perform certain tasks/etc, I would want to be as upfront with that as possible.",Maybe/Not sure,Yes,Possibly,Possibly,24.0,female,United States of America,Illinois,United States of America,Illinois
100-500,1.0,1.0,Yes,,Maybe,,No,No,Yes,Yes,38.0,m,United States of America,Illinois,United States of America,Illinois
100-500,1.0,1.0,Maybe,,Maybe,,No,,Yes,Yes,42.0,Male,United Kingdom,,United Kingdom,
100-500,1.0,1.0,Maybe,It would depend on the exact issue and the vibe I got from the interviewers (ie. whether taking time off would be an issue for them) ,No,It would depend on the exact issue and the vibe I got from the interviewers (ie. whether taking time off would be an issue for them) ,"Yes, I observed",No,Possibly,Don't Know,23.0,Female,United States of America,Illinois,United States of America,Illinois
100-500,1.0,1.0,Yes,,No,,No,,Yes,Possibly,39.0,,United States of America,Illinois,United States of America,Illinois
100-500,1.0,1.0,No,I'd be afraid that the cost of healthcare or a perceived bias would make me less likely to get the job.,No,I'd be afraid that the cost of healthcare or a perceived bias would make me less likely to get the job.,Maybe/Not sure,No,Yes,Yes,30.0,Male,United States of America,Illinois,United States of America,Illinois
100-500,1.0,1.0,Maybe,"I have a chronic physical illness; if the employer offers very flexible time off, I probably wouldn't bring it up.  If they don't, I'd have to bring it up to find out if medical reasons are good enough to work from home or take time off.",No,"I have a chronic physical illness; if the employer offers very flexible time off, I probably wouldn't bring it up.  If they don't, I'd have to bring it up to find out if medical reasons are good enough to work from home or take time off.",No,No,No,Don't Know,35.0,Female,United States of America,Illinois,United States of America,Illinois
100-500,1.0,0.0,No,"I'm a deeply private person, I would not want to discuss anything personal about my health with someone I'm not currently in a deeply personal or professional relationship with. As much as we're told it ""shouldn't"" or ""doesn't"" matter with hiring, people are still stigmatized if perceive to be ill, I will not risk my chances of employment somewhere so that I can ask about what is currently a non-visible illness. I can learn about the benefits package with my offer letter.",No,"I'm a deeply private person, I would not want to discuss anything personal about my health with someone I'm not currently in a deeply personal or professional relationship with. As much as we're told it ""shouldn't"" or ""doesn't"" matter with hiring, people are still stigmatized if perceive to be ill, I will not risk my chances of employment somewhere so that I can ask about what is currently a non-visible illness. I can learn about the benefits package with my offer letter.",Maybe/Not sure,Yes,Yes,Yes,29.0,Female,United States of America,Illinois,United States of America,Illinois
100-500,1.0,1.0,No,,No,,No,No,No,No,24.0,female,United States of America,Illinois,United States of America,Illinois
500-1000,1.0,1.0,Maybe,,No,,No,No,Possibly,Possibly,35.0,m,United States of America,Ohio,United States of America,Ohio
100-500,1.0,1.0,Maybe,I'd be afraid it would lead to not getting an offer.,No,I'd be afraid it would lead to not getting an offer.,Maybe/Not sure,No,Don't Know,Possibly,30.0,male,United States of America,Illinois,United States of America,Illinois
25-Jun,1.0,1.0,Maybe,only if it was relevant to work,No,only if it was relevant to work,No,Maybe,No,No,28.0,F,United States of America,Oregon,United States of America,Oregon
100-500,1.0,1.0,No,Often employers don't want to hire people with health issues. ,No,Often employers don't want to hire people with health issues. ,Maybe/Not sure,No,Yes,Yes,32.0,F,United States of America,Illinois,United States of America,Illinois
100-500,1.0,1.0,Maybe,,No,,No,Maybe,Possibly,Possibly,34.0,Male,United States of America,Illinois,United States of America,Illinois
26-100,1.0,1.0,No,Unless I had to get a special need exception for one of my duties its none of their business.,No,Unless I had to get a special need exception for one of my duties its none of their business.,Maybe/Not sure,No,Possibly,Yes,33.0,Male,United States of America,Alabama,United States of America,Alabama
100-500,1.0,1.0,Yes,,Maybe,,Maybe/Not sure,No,No,No,32.0,male,United States of America,Illinois,United States of America,Illinois
100-500,1.0,1.0,No,"I feel that this would make me look less appealing as a candidate. Ideally it wouldn't, but I already have to overcome hurdles as a minority, and this certainly wouldn't help.",No,"I feel that this would make me look less appealing as a candidate. Ideally it wouldn't, but I already have to overcome hurdles as a minority, and this certainly wouldn't help.",Maybe/Not sure,No,No,No,27.0,Female,United States of America,Illinois,United States of America,Illinois
100-500,1.0,0.0,No,,Maybe,,Maybe/Not sure,No,No,Yes,23.0,Female,United States of America,Illinois,United States of America,Illinois
100-500,0.0,1.0,Yes,"It would of course depend on the issue, but for most cases people are accepting about it",No,"It would of course depend on the issue, but for most cases people are accepting about it",Maybe/Not sure,No,Yes,Yes,30.0,Male,Netherlands,,Netherlands,
100-500,1.0,0.0,Yes,It is a part of me.,Maybe,It is a part of me.,No,No,Yes,Yes,24.0,Male,United States of America,Illinois,United States of America,Illinois
100-500,1.0,1.0,No,,No,,Maybe/Not sure,No,Yes,Yes,34.0,Female,United States of America,Illinois,United States of America,Illinois
100-500,1.0,1.0,Maybe,,Maybe,,Maybe/Not sure,,Don't Know,Don't Know,32.0,male,United States of America,Illinois,United States of America,Illinois
